question_number,answer_student
1,E
2,C
3,A
4,C
5,C
6,E
7,B
8,C
9,C
10,D
11,C
12,D
13,E
14,B
15,B
16,C
17,A
18,E
19,A
20,B
21,C
22,D
23,E
24,A
25,D
26,C
27,D
28,E
29,A
30,B
31,C
32,D
33,E
34,B
35,B
36,C
37,D
38,A
39,A
40,B
41,C
42,D
43,E
44,A
45,B
46,C
47,D
48,E
49,A
50,D
51,C
52,D
53,E
54,A
55,B
56,C
57,D
58,E
59,B
60,B
61,C
62,D
63,E
64,A
65,B
66,A
67,D
68,E
69,A
70,B
71,C
72,D
73,A
74,A
75,B
76,C
77,D
78,E
79,A
80,B
81,C
82,D
83,E
84,A
85,C
86,C
87,D
88,E
89,A
90,B
91,C
92,A
93,E
94,A
95,B
96,C
97,D
98,E
99,A
100,D
