question_number,answer_student
1,E
2,D
3,A
4,C
5,C
6,E
7,A
8,A
9,C
10,B
11,E
12,B
13,D
14,D
15,A
16,E
17,A
18,B
19,B
20,C
21,A
22,B
23,A
24,A
25,D
26,D
27,D
28,B
29,A
30,E
31,E
32,E
33,E
34,A
35,A
36,C
37,D
38,A
39,A
40,B
41,B
42,B
43,C
44,D
45,C
46,D
47,C
48,E
49,D
50,A
51,B
52,C
53,A
54,D
55,A
56,A
57,A
58,A
59,A
60,A
61,E
62,C
63,E
64,E
65,C
66,D
67,D
68,A
69,D
70,B
71,B
72,A
73,B
74,B
75,B
76,A
77,D
78,B
79,E
80,D
81,E
82,D
83,D
84,E
85,C
86,C
87,E
88,C
89,B
90,A
91,A
92,B
93,E
94,E
95,B
96,A
97,C
98,D
99,E
100,D
