question_number,answer_student
1,E
2,C
3,A
4,C
5,D
6,E
7,D
8,A
9,C
10,E
11,E
12,B
13,D
14,D
15,B
16,E
17,A
18,C
19,B
20,C
21,A
22,E
23,A
24,C
25,D
26,D
27,D
28,B
29,A
30,E
31,B
32,D
33,A
34,D
35,B
36,C
37,B
38,D
39,E
40,B
41,D
42,A
43,B
44,C
45,D
46,E
47,A
48,B
49,C
50,D
51,E
52,A
53,B
54,C
55,D
56,E
57,A
58,B
59,C
60,D
61,E
62,A
63,B
64,C
65,D
66,E
67,A
68,B
69,C
70,D
71,E
72,A
73,B
74,C
75,D
76,E
77,A
78,B
79,C
80,D
81,E
82,A
83,B
84,C
85,D
86,E
87,A
88,B
89,C
90,D
91,E
92,A
93,B
94,C
95,D
96,E
97,A
98,B
99,C
100,D
