question_number,answer_student
1,E
2,C
3,A
4,D
5,C
6,E
7,B
8,A
9,A
10,C
11,C
12,D
13,E
14,A
15,B
16,C
17,A
18,E
19,A
20,B
21,A
22,D
23,E
24,A
25,B
26,A
27,D
28,E
29,A
30,B
31,A
32,D
33,E
34,A
35,B
36,A
37,D
38,E
39,A
40,D
41,C
42,A
43,E
44,A
45,E
46,C
47,D
48,E
49,B
50,B
51,C
52,D
53,A
54,A
55,B
56,C
57,B
58,E
59,A
60,B
61,C
62,A
63,E
64,A
65,D
66,C
67,D
68,B
69,A
70,B
71,C
72,D
73,E
74,A
75,B
76,C
77,D
78,E
79,A
80,D
81,C
82,D
83,E
84,A
85,B
86,C
87,D
88,E
89,A
90,B
91,C
92,D
93,E
94,A
95,B
96,C
97,D
98,E
99,A
100,B
