question_number,answer_student
1,E
2,B
3,A
4,E
5,D
6,C
7,E
8,A
9,C
10,B
11,A
12,B
13,E
14,A
15,D
16,C
17,B
18,E
19,B
20,D
21,A
22,D
23,B
24,A
25,E
26,C
27,B
28,E
29,A
30,D
31,C
32,A
33,E
34,B
35,D
36,C
37,A
38,E
39,B
40,D
41,C
42,A
43,B
44,A
45,D
46,C
47,B
48,E
49,A
50,D
51,C
52,A
53,E
54,B
55,D
56,C
57,A
58,E
59,B
60,D
61,C
62,A
63,E
64,B
65,D
66,C
67,A
68,E
69,B
70,D
71,C
72,A
73,E
74,B
75,D
76,C
77,A
78,E
79,B
80,D
81,C
82,A
83,E
84,B
85,D
86,C
87,A
88,E
89,B
90,D
91,C
92,A
93,E
94,B
95,D
96,C
97,A
98,E
99,B
100,D
